Model,Year_of_Manufacture,Number_of_Engines,Engine_Type,Capacity,Range_(km),Fuel_Consumption_(L/hour),Hourly_Maintenance_Cost_($),Age,Sales_Region,Price_($),Company,Age_Group,HMC_per_person,Engine_Power_Factor,Price_per_Seat,Seats_per_Engine,Company_Popularity,FuelCost_Maint_Index,Engine_to_Capacity
Boeing 737,1994,2,Turbofan,162,5700,12.95,1595.49,31,Africa,66476382.09,Boeing,30-40,9.848703703703704,12,410348.0375925926,81.0,4132,28.904899999999998,0.012345679012345678
Airbus A320,1984,2,Turbofan,180,6300,2.94,1441.88,41,North America,72313179.34,Airbus,40+,8.010444444444445,12,401739.88522222225,90.0,4155,17.358800000000002,0.011111111111111112
Boeing 777,1994,2,Turbofan,396,15600,10.45,4640.18,31,Asia,461572251.39,Boeing,30-40,11.717626262626263,12,1165586.493409091,198.0,4132,56.8518,0.005050505050505051
Bombardier CRJ200,1993,2,Turbofan,50,3000,14.32,906.89,32,South America,11082343.22,Bombardier,30-40,18.1378,12,221646.86440000002,25.0,2051,23.3889,0.04
Boeing 777,2004,2,Turbofan,396,15600,2.67,2310.17,21,Africa,432889444.39,Boeing,20-30,5.833762626262627,12,1093155.1626010102,198.0,4132,25.771700000000003,0.005050505050505051
Airbus A350,1982,2,Turbofan,350,14800,3.6,2734.32,43,Asia,309450665.81,Airbus,40+,7.812342857142857,12,884144.7594571429,175.0,4155,30.943200000000004,0.005714285714285714
Bombardier CRJ200,2000,2,Turbofan,50,3000,12.44,3977.78,25,Asia,11580346.16,Bombardier,20-30,79.5556,12,231606.9232,25.0,2051,52.217800000000004,0.04
Bombardier CRJ200,2013,2,Turbofan,50,3000,6.77,1190.36,12,Australia,17335056.34,Bombardier,10-20,23.807199999999998,12,346701.12679999997,25.0,2051,18.6736,0.04
Boeing 777,1996,2,Turbofan,396,15600,11.19,4093.04,29,South America,382740371.22,Boeing,20-30,10.335959595959595,12,966516.088939394,198.0,4132,52.1204,0.005050505050505051
Cessna 172,2016,1,Piston,4,1285,24.67,1356.72,9,Europe,377411.44,Cessna,0-10,339.18,1,94352.86,4.0,2039,38.2372,0.25
Airbus A350,2021,2,Turbofan,350,14800,14.82,1046.17,4,Africa,655977473.68,Airbus,0-10,2.989057142857143,12,1874221.3533714283,175.0,4155,25.2817,0.005714285714285714
Boeing 777,2017,2,Turbofan,396,15600,7.07,4013.07,8,Australia,757618965.63,Boeing,0-10,10.134015151515152,12,1913179.2061363636,198.0,4132,47.200700000000005,0.005050505050505051
Boeing 737,2013,2,Turbofan,162,5700,4.27,2993.45,12,North America,103139561.03,Boeing,10-20,18.478086419753087,12,636663.9569753086,81.0,4132,34.204499999999996,0.012345679012345678
Airbus A350,1994,2,Turbofan,350,14800,12.96,2204.17,31,South America,422620706.91,Airbus,30-40,6.297628571428572,12,1207487.7340285715,175.0,4155,35.0017,0.005714285714285714
Airbus A350,2002,2,Turbofan,350,14800,13.62,4400.7,23,North America,487719146.58,Airbus,20-30,12.57342857142857,12,1393483.2759428571,175.0,4155,57.626999999999995,0.005714285714285714
Airbus A350,2010,2,Turbofan,350,14800,3.23,4639.07,15,South America,642704827.38,Airbus,10-20,13.254485714285714,12,1836299.5068,175.0,4155,49.62069999999999,0.005714285714285714
Boeing 737,2012,2,Turbofan,162,5700,9.89,3906.17,13,Europe,102018991.6,Boeing,10-20,24.11216049382716,12,629746.861728395,81.0,4132,48.9517,0.012345679012345678
Airbus A350,1990,2,Turbofan,350,14800,12.37,1250.54,35,Europe,355616510.1,Airbus,30-40,3.5729714285714285,12,1016047.1717142857,175.0,4155,24.8754,0.005714285714285714
Boeing 737,2012,2,Turbofan,162,5700,4.26,2587.14,13,Australia,101358797.56,Boeing,10-20,15.969999999999999,12,625671.5898765433,81.0,4132,30.1314,0.012345679012345678
Boeing 777,1993,2,Turbofan,396,15600,2.24,2018.65,32,Europe,441177408.05,Boeing,30-40,5.097601010101011,12,1114084.3637626262,198.0,4132,22.426500000000004,0.005050505050505051
Airbus A320,1990,2,Turbofan,180,6300,10.63,3288.12,35,North America,61189998.57,Airbus,30-40,18.267333333333333,12,339944.4365,90.0,4155,43.5112,0.011111111111111112
Cessna 172,1987,1,Piston,4,1285,18.62,4263.31,38,Australia,213768.67,Cessna,30-40,1065.8275,1,53442.1675,4.0,2039,61.2531,0.25
Airbus A320,2006,2,Turbofan,180,6300,3.27,4916.4,19,North America,116158889.98,Airbus,10-20,27.313333333333333,12,645327.1665555555,90.0,4155,52.434,0.011111111111111112
Bombardier CRJ200,1987,2,Turbofan,50,3000,10.3,1863.8,38,Africa,12784119.36,Bombardier,30-40,37.275999999999996,12,255682.3872,25.0,2051,28.938000000000002,0.04
Bombardier CRJ200,2010,2,Turbofan,50,3000,9.14,795.32,15,Africa,17503522.46,Bombardier,10-20,15.906400000000001,12,350070.44920000003,25.0,2051,17.093200000000003,0.04
Airbus A320,2017,2,Turbofan,180,6300,10.49,3158.9,8,Europe,127712534.89,Airbus,0-10,17.549444444444443,12,709514.0827222222,90.0,4155,42.079,0.011111111111111112
Bombardier CRJ200,2006,2,Turbofan,50,3000,4.53,4296.56,19,Asia,13811764.15,Bombardier,10-20,85.9312,12,276235.283,25.0,2051,47.4956,0.04
Airbus A320,1982,2,Turbofan,180,6300,9.31,4220.91,43,Europe,84550728.09,Airbus,40+,23.4495,12,469726.2671666667,90.0,4155,51.5191,0.011111111111111112
Cessna 172,2017,1,Piston,4,1285,32.75,1433.8,8,Europe,412581.36,Cessna,0-10,358.45,1,103145.34,4.0,2039,47.088,0.25
Airbus A320,2020,2,Turbofan,180,6300,7.62,4404.75,5,South America,146559370.47,Airbus,0-10,24.470833333333335,12,814218.7248333333,90.0,4155,51.6675,0.011111111111111112
Boeing 737,2016,2,Turbofan,162,5700,7.06,1142.54,9,Europe,114641994.95,Boeing,0-10,7.052716049382716,12,707666.6354938272,81.0,4132,18.4854,0.012345679012345678
Boeing 737,1990,2,Turbofan,162,5700,6.16,4782.66,35,North America,59298748.76,Boeing,30-40,29.52259259259259,12,366041.65901234566,81.0,4132,53.986599999999996,0.012345679012345678
Airbus A320,2013,2,Turbofan,180,6300,6.05,3760.51,12,Africa,122422074.64,Airbus,10-20,20.891722222222224,12,680122.6368888889,90.0,4155,43.6551,0.011111111111111112
Cessna 172,2016,1,Piston,4,1285,27.71,4023.16,9,Australia,423758.04,Cessna,0-10,1005.79,1,105939.51,4.0,2039,67.9416,0.25
Boeing 737,2022,2,Turbofan,162,5700,7.76,2220.63,3,North America,123373002.69,Boeing,0-10,13.707592592592594,12,761561.745,81.0,4132,29.966300000000004,0.012345679012345678
Boeing 737,1993,2,Turbofan,162,5700,6.78,2192.86,32,Africa,72207455.35,Boeing,30-40,13.536172839506174,12,445725.03302469134,81.0,4132,28.708600000000004,0.012345679012345678
Cessna 172,2010,1,Piston,4,1285,30.97,2127.96,15,Africa,319941.35,Cessna,10-20,531.99,1,79985.3375,4.0,2039,52.2496,0.25
Airbus A320,1994,2,Turbofan,180,6300,5.5,3518.27,31,Africa,80608036.32,Airbus,30-40,19.545944444444444,12,447822.42399999994,90.0,4155,40.682700000000004,0.011111111111111112
Cessna 172,1989,1,Piston,4,1285,33.09,3755.91,36,South America,210555.6,Cessna,30-40,938.9775,1,52638.9,4.0,2039,70.6491,0.25
Airbus A320,2019,2,Turbofan,180,6300,2.38,3414.74,6,Australia,146960902.72,Airbus,0-10,18.970777777777776,12,816449.4595555556,90.0,4155,36.5274,0.011111111111111112
Cessna 172,1996,1,Piston,4,1285,24.38,2955.87,29,Europe,264821.12,Cessna,20-30,738.9675,1,66205.28,4.0,2039,53.9387,0.25
Bombardier CRJ200,2023,2,Turbofan,50,3000,4.51,866.63,2,North America,23872752.57,Bombardier,0-10,17.3326,12,477455.0514,25.0,2051,13.1763,0.04
Airbus A350,2018,2,Turbofan,350,14800,2.69,2600.07,7,South America,708153023.77,Airbus,0-10,7.428771428571429,12,2023294.3536285714,175.0,4155,28.690700000000003,0.005714285714285714
Boeing 737,1994,2,Turbofan,162,5700,11.32,669.05,31,Africa,67974316.97,Boeing,30-40,4.129938271604938,12,419594.54919753084,81.0,4132,18.0105,0.012345679012345678
Airbus A350,1988,2,Turbofan,350,14800,11.68,1594.06,37,Asia,488215283.09,Airbus,30-40,4.554457142857142,12,1394900.8088285713,175.0,4155,27.6206,0.005714285714285714
Boeing 737,1992,2,Turbofan,162,5700,4.47,1257.06,33,South America,52064622.81,Boeing,30-40,7.75962962962963,12,321386.56055555557,81.0,4132,17.040599999999998,0.012345679012345678
Cessna 172,2023,1,Piston,4,1285,35.81,1613.58,2,Africa,413294.65,Cessna,0-10,403.395,1,103323.6625,4.0,2039,51.945800000000006,0.25
Airbus A320,2018,2,Turbofan,180,6300,12.72,3429.37,7,Asia,130693203.5,Airbus,0-10,19.052055555555555,12,726073.3527777778,90.0,4155,47.0137,0.011111111111111112
Airbus A320,2010,2,Turbofan,180,6300,14.74,1731.5,15,South America,114332681.36,Airbus,10-20,9.619444444444444,12,635181.563111111,90.0,4155,32.055,0.011111111111111112
Cessna 172,1982,1,Piston,4,1285,38.39,3183.16,43,South America,213889.11,Cessna,40+,795.79,1,53472.2775,4.0,2039,70.2216,0.25
Cessna 172,1987,1,Piston,4,1285,32.77,668.88,38,Asia,208622.07,Cessna,30-40,167.22,1,52155.5175,4.0,2039,39.458800000000004,0.25
Airbus A350,2022,2,Turbofan,350,14800,14.59,4643.47,3,Europe,576148278.01,Airbus,0-10,13.267057142857144,12,1646137.9371714285,175.0,4155,61.02470000000001,0.005714285714285714
Cessna 172,2014,1,Piston,4,1285,36.94,4752.58,11,Asia,422042.57,Cessna,10-20,1188.145,1,105510.6425,4.0,2039,84.4658,0.25
Bombardier CRJ200,2021,2,Turbofan,50,3000,8.05,792.05,4,Africa,22752952.68,Bombardier,0-10,15.841,12,455059.0536,25.0,2051,15.970500000000001,0.04
Cessna 172,2006,1,Piston,4,1285,33.29,2549.6,19,North America,236969.19,Cessna,10-20,637.4,1,59242.2975,4.0,2039,58.786,0.25
Boeing 737,2013,2,Turbofan,162,5700,4.14,2105.47,12,Africa,114614109.0,Boeing,10-20,12.996728395061727,12,707494.5,81.0,4132,25.194699999999997,0.012345679012345678
Airbus A320,2010,2,Turbofan,180,6300,6.4,3488.06,15,Africa,116142324.75,Airbus,10-20,19.37811111111111,12,645235.1375,90.0,4155,41.2806,0.011111111111111112
Boeing 777,2017,2,Turbofan,396,15600,13.86,4709.85,8,Australia,750893407.26,Boeing,0-10,11.893560606060607,12,1896195.472878788,198.0,4132,60.9585,0.005050505050505051
Bombardier CRJ200,2016,2,Turbofan,50,3000,13.57,4855.39,9,Asia,21887275.56,Bombardier,0-10,97.10780000000001,12,437745.51119999995,25.0,2051,62.123900000000006,0.04
Airbus A350,1988,2,Turbofan,350,14800,8.89,3202.41,37,North America,453671188.35,Airbus,30-40,9.149742857142856,12,1296203.3952857144,175.0,4155,40.9141,0.005714285714285714
Airbus A350,1994,2,Turbofan,350,14800,11.65,3007.63,31,Asia,346748954.7,Airbus,30-40,8.593228571428572,12,990711.2991428571,175.0,4155,41.7263,0.005714285714285714
Boeing 777,2018,2,Turbofan,396,15600,9.34,1758.95,7,South America,703451860.4,Boeing,0-10,4.441792929292929,12,1776393.5868686868,198.0,4132,26.9295,0.005050505050505051
Airbus A350,1996,2,Turbofan,350,14800,11.01,3875.72,29,Europe,342053736.57,Airbus,20-30,11.073485714285713,12,977296.3902,175.0,4155,49.767199999999995,0.005714285714285714
Boeing 737,1980,2,Turbofan,162,5700,5.61,4957.89,45,South America,50295091.66,Boeing,40+,30.604259259259262,12,310463.5287654321,81.0,4132,55.188900000000004,0.012345679012345678
Cessna 172,1987,1,Piston,4,1285,44.28,2482.71,38,South America,213230.51,Cessna,30-40,620.6775,1,53307.6275,4.0,2039,69.1071,0.25
Boeing 737,2004,2,Turbofan,162,5700,13.47,3578.94,21,Australia,81378585.38,Boeing,20-30,22.092222222222222,12,502336.9467901234,81.0,4132,49.2594,0.012345679012345678
Airbus A320,2000,2,Turbofan,180,6300,13.55,768.93,25,Africa,82333586.99,Airbus,20-30,4.271833333333333,12,457408.8166111111,90.0,4155,21.2393,0.011111111111111112
Boeing 777,1986,2,Turbofan,396,15600,6.09,1980.83,39,Europe,425783294.02,Boeing,30-40,5.00209595959596,12,1075210.3384343435,198.0,4132,25.8983,0.005050505050505051
Airbus A350,2021,2,Turbofan,350,14800,6.58,715.02,4,South America,716238648.88,Airbus,0-10,2.0429142857142857,12,2046396.1396571428,175.0,4155,13.7302,0.005714285714285714
Boeing 777,1996,2,Turbofan,396,15600,7.15,4354.57,29,South America,384252138.97,Boeing,20-30,10.996388888888887,12,970333.6842676768,198.0,4132,50.695699999999995,0.005050505050505051
Airbus A350,2016,2,Turbofan,350,14800,13.9,2234.99,9,North America,554504690.5,Airbus,0-10,6.385685714285714,12,1584299.1157142858,175.0,4155,36.2499,0.005714285714285714
Cessna 172,1997,1,Piston,4,1285,30.2,3928.7,28,Australia,213262.02,Cessna,20-30,982.175,1,53315.505,4.0,2039,69.487,0.25
Airbus A350,1993,2,Turbofan,350,14800,5.41,762.07,32,Africa,383083285.3,Airbus,30-40,2.1773428571428575,12,1094523.6722857144,175.0,4155,13.0307,0.005714285714285714
Cessna 172,2015,1,Piston,4,1285,16.28,2462.32,10,Africa,380901.46,Cessna,0-10,615.58,1,95225.365,4.0,2039,40.9032,0.25
Airbus A320,2003,2,Turbofan,180,6300,14.24,3746.52,22,South America,79407371.06,Airbus,20-30,20.814,12,441152.06144444447,90.0,4155,51.705200000000005,0.011111111111111112
Cessna 172,2010,1,Piston,4,1285,30.61,4467.36,15,North America,326855.63,Cessna,10-20,1116.84,1,81713.9075,4.0,2039,75.2836,0.25
Boeing 777,2016,2,Turbofan,396,15600,3.49,2987.17,9,North America,784915293.34,Boeing,0-10,7.543358585858586,12,1982109.3266161617,198.0,4132,33.3617,0.005050505050505051
Bombardier CRJ200,2005,2,Turbofan,50,3000,8.88,1067.62,20,Australia,16934049.56,Bombardier,10-20,21.3524,12,338680.9912,25.0,2051,19.5562,0.04
Airbus A320,2022,2,Turbofan,180,6300,8.29,4859.67,3,Asia,189291287.74,Airbus,0-10,26.998166666666666,12,1051618.2652222223,90.0,4155,56.8867,0.011111111111111112
Bombardier CRJ200,1994,2,Turbofan,50,3000,9.17,786.21,31,Africa,9876431.96,Bombardier,30-40,15.724200000000002,12,197528.6392,25.0,2051,17.0321,0.04
Bombardier CRJ200,1990,2,Turbofan,50,3000,4.49,4579.94,35,Asia,11222778.52,Bombardier,30-40,91.5988,12,224455.5704,25.0,2051,50.2894,0.04
Airbus A320,2012,2,Turbofan,180,6300,7.27,3269.43,13,Africa,120835791.42,Airbus,10-20,18.1635,12,671309.9523333333,90.0,4155,39.964299999999994,0.011111111111111112
Boeing 777,2015,2,Turbofan,396,15600,10.92,1693.53,10,South America,644830555.56,Boeing,0-10,4.276590909090909,12,1628359.9887878785,198.0,4132,27.8553,0.005050505050505051
Bombardier CRJ200,2023,2,Turbofan,50,3000,5.48,4769.56,2,Australia,22298023.35,Bombardier,0-10,95.39120000000001,12,445960.467,25.0,2051,53.1756,0.04
Boeing 737,1990,2,Turbofan,162,5700,11.96,4703.15,35,Africa,63891709.75,Boeing,30-40,29.031790123456787,12,394393.27006172837,81.0,4132,58.991499999999995,0.012345679012345678
Bombardier CRJ200,1980,2,Turbofan,50,3000,12.71,3460.77,45,Asia,12374852.61,Bombardier,40+,69.2154,12,247497.05219999998,25.0,2051,47.3177,0.04
Airbus A320,2010,2,Turbofan,180,6300,14.02,3712.81,15,South America,116880021.08,Airbus,10-20,20.62672222222222,12,649333.4504444444,90.0,4155,51.1481,0.011111111111111112
Airbus A350,1985,2,Turbofan,350,14800,3.52,2827.09,40,Asia,332341299.64,Airbus,30-40,8.0774,12,949546.5704,175.0,4155,31.7909,0.005714285714285714
Boeing 777,1994,2,Turbofan,396,15600,8.27,3166.22,31,North America,400804486.23,Boeing,30-40,7.99550505050505,12,1012132.5409848485,198.0,4132,39.932199999999995,0.005050505050505051
Boeing 737,2018,2,Turbofan,162,5700,2.13,3301.59,7,Asia,113771801.41,Boeing,0-10,20.380185185185187,12,702295.0704320987,81.0,4132,35.145900000000005,0.012345679012345678
Bombardier CRJ200,2004,2,Turbofan,50,3000,6.99,4777.27,21,Africa,12870432.1,Bombardier,20-30,95.54540000000001,12,257408.642,25.0,2051,54.76270000000001,0.04
Cessna 172,2021,1,Piston,4,1285,38.59,2409.67,4,South America,345378.61,Cessna,0-10,602.4175,1,86344.6525,4.0,2039,62.6867,0.25
Boeing 777,2018,2,Turbofan,396,15600,4.83,2348.67,7,Asia,774102008.25,Boeing,0-10,5.930984848484849,12,1954803.0511363635,198.0,4132,28.316700000000004,0.005050505050505051
Airbus A320,2020,2,Turbofan,180,6300,3.7,4847.1,5,Africa,143523174.28,Airbus,0-10,26.928333333333335,12,797350.9682222222,90.0,4155,52.17100000000001,0.011111111111111112
Airbus A350,1980,2,Turbofan,350,14800,12.15,1498.01,45,Europe,369723931.64,Airbus,40+,4.280028571428572,12,1056354.0903999999,175.0,4155,27.1301,0.005714285714285714
Bombardier CRJ200,2013,2,Turbofan,50,3000,3.04,1405.29,12,North America,18791155.08,Bombardier,10-20,28.1058,12,375823.10159999994,25.0,2051,17.0929,0.04
Airbus A320,1982,2,Turbofan,180,6300,12.5,881.45,43,South America,78249026.3,Airbus,40+,4.896944444444444,12,434716.8127777778,90.0,4155,21.314500000000002,0.011111111111111112
Cessna 172,2013,1,Piston,4,1285,46.61,3971.63,12,Australia,356830.25,Cessna,10-20,992.9075,1,89207.5625,4.0,2039,86.3263,0.25
Airbus A320,2019,2,Turbofan,180,6300,12.18,735.5,6,Europe,156350776.55,Airbus,0-10,4.086111111111111,12,868615.4252777778,90.0,4155,19.535,0.011111111111111112
Bombardier CRJ200,1982,2,Turbofan,50,3000,12.39,4304.8,43,North America,10164465.53,Bombardier,40+,86.096,12,203289.3106,25.0,2051,55.438,0.04
Airbus A320,2021,2,Turbofan,180,6300,11.45,4303.98,4,Asia,151208521.96,Airbus,0-10,23.910999999999998,12,840047.3442222222,90.0,4155,54.4898,0.011111111111111112
Airbus A320,1985,2,Turbofan,180,6300,4.02,4913.43,40,North America,72935530.48,Airbus,30-40,27.296833333333336,12,405197.3915555556,90.0,4155,53.154300000000006,0.011111111111111112
Airbus A350,2002,2,Turbofan,350,14800,4.43,4066.43,23,Australia,403424081.24,Airbus,20-30,11.618371428571429,12,1152640.2321142857,175.0,4155,45.0943,0.005714285714285714
Airbus A350,2005,2,Turbofan,350,14800,14.98,799.97,20,South America,525836284.9,Airbus,10-20,2.2856285714285716,12,1502389.3854285714,175.0,4155,22.9797,0.005714285714285714
Airbus A320,2013,2,Turbofan,180,6300,13.72,2995.79,12,Asia,120268732.74,Airbus,10-20,16.643277777777776,12,668159.6263333333,90.0,4155,43.6779,0.011111111111111112
Bombardier CRJ200,1984,2,Turbofan,50,3000,2.12,4667.87,41,Asia,11924924.92,Bombardier,40+,93.3574,12,238498.4984,25.0,2051,48.7987,0.04
Cessna 172,1998,1,Piston,4,1285,45.53,3511.92,27,Australia,209184.09,Cessna,20-30,877.98,1,52296.0225,4.0,2039,80.64920000000001,0.25
Cessna 172,2017,1,Piston,4,1285,34.28,2569.74,8,North America,395601.02,Cessna,0-10,642.435,1,98900.255,4.0,2039,59.9774,0.25
Boeing 777,1997,2,Turbofan,396,15600,5.49,4852.98,28,Europe,376540783.92,Boeing,20-30,12.254999999999999,12,950860.5654545455,198.0,4132,54.0198,0.005050505050505051
Cessna 172,1992,1,Piston,4,1285,13.44,2726.72,33,Africa,216636.64,Cessna,30-40,681.68,1,54159.16,4.0,2039,40.7072,0.25
Airbus A350,2016,2,Turbofan,350,14800,7.75,1149.96,9,Asia,827259656.28,Airbus,0-10,3.2856,12,2363599.017942857,175.0,4155,19.2496,0.005714285714285714
Boeing 777,1991,2,Turbofan,396,15600,8.78,2003.47,34,Africa,393924774.88,Boeing,30-40,5.059267676767677,12,994759.5325252526,198.0,4132,28.814700000000002,0.005050505050505051
Cessna 172,1986,1,Piston,4,1285,38.52,3924.53,39,South America,214043.86,Cessna,30-40,981.1325,1,53510.965,4.0,2039,77.7653,0.25
Boeing 737,2012,2,Turbofan,162,5700,2.69,2148.29,13,North America,91412791.51,Boeing,10-20,13.261049382716049,12,564276.4908024692,81.0,4132,24.172900000000002,0.012345679012345678
Boeing 777,1987,2,Turbofan,396,15600,9.5,1327.16,38,South America,352731198.7,Boeing,30-40,3.3514141414141414,12,890735.3502525252,198.0,4132,22.7716,0.005050505050505051
Boeing 777,2014,2,Turbofan,396,15600,6.63,1196.79,11,South America,687873642.88,Boeing,10-20,3.0221969696969695,12,1737054.6537373737,198.0,4132,18.5979,0.005050505050505051
Boeing 777,2008,2,Turbofan,396,15600,7.46,2239.08,17,Africa,656883082.8,Boeing,10-20,5.654242424242424,12,1658795.6636363636,198.0,4132,29.8508,0.005050505050505051
Cessna 172,2010,1,Piston,4,1285,10.23,3029.5,15,Europe,323193.79,Cessna,10-20,757.375,1,80798.4475,4.0,2039,40.525000000000006,0.25
Boeing 777,2009,2,Turbofan,396,15600,5.52,4640.17,16,Australia,546963772.68,Boeing,10-20,11.71760101010101,12,1381221.648181818,198.0,4132,51.9217,0.005050505050505051
Airbus A350,2017,2,Turbofan,350,14800,9.4,2167.21,8,Asia,631101285.65,Airbus,0-10,6.192028571428572,12,1803146.5304285714,175.0,4155,31.0721,0.005714285714285714
Airbus A350,1987,2,Turbofan,350,14800,7.33,3511.19,38,North America,380276954.18,Airbus,30-40,10.03197142857143,12,1086505.5833714285,175.0,4155,42.4419,0.005714285714285714
Boeing 737,2004,2,Turbofan,162,5700,2.64,2618.15,21,Australia,83065400.16,Boeing,20-30,16.16141975308642,12,512749.3837037037,81.0,4132,28.8215,0.012345679012345678
Airbus A320,2023,2,Turbofan,180,6300,5.92,2542.81,2,Australia,147454984.27,Airbus,0-10,14.126722222222222,12,819194.3570555556,90.0,4155,31.348100000000002,0.011111111111111112
Airbus A320,2000,2,Turbofan,180,6300,13.11,2228.09,25,Africa,77466368.38,Airbus,20-30,12.378277777777779,12,430368.71322222217,90.0,4155,35.3909,0.011111111111111112
Boeing 777,2013,2,Turbofan,396,15600,5.28,1028.76,12,South America,695013999.61,Boeing,10-20,2.5978787878787877,12,1755085.8576010102,198.0,4132,15.567599999999999,0.005050505050505051
Boeing 737,1996,2,Turbofan,162,5700,9.56,4643.4,29,Europe,78574013.58,Boeing,20-30,28.66296296296296,12,485024.7751851852,81.0,4132,55.994,0.012345679012345678
Boeing 777,1985,2,Turbofan,396,15600,12.49,2147.13,40,Africa,430470119.35,Boeing,30-40,5.422045454545454,12,1087045.7559343434,198.0,4132,33.9613,0.005050505050505051
Bombardier CRJ200,2001,2,Turbofan,50,3000,3.52,2854.79,24,Asia,13668936.59,Bombardier,20-30,57.0958,12,273378.7318,25.0,2051,32.0679,0.04
Cessna 172,1991,1,Piston,4,1285,22.33,4714.57,34,Africa,190653.43,Cessna,30-40,1178.6425,1,47663.3575,4.0,2039,69.47569999999999,0.25
Boeing 777,2002,2,Turbofan,396,15600,11.93,4412.94,23,Europe,474612838.86,Boeing,20-30,11.143787878787878,12,1198517.2698484848,198.0,4132,56.0594,0.005050505050505051
Cessna 172,1997,1,Piston,4,1285,24.85,1398.51,28,Europe,202866.55,Cessna,20-30,349.6275,1,50716.6375,4.0,2039,38.835100000000004,0.25
Bombardier CRJ200,2023,2,Turbofan,50,3000,11.43,2757.65,2,Europe,23606979.87,Bombardier,0-10,55.153,12,472139.5974,25.0,2051,39.0065,0.04
Airbus A350,1992,2,Turbofan,350,14800,9.03,2682.83,33,Europe,337736038.3,Airbus,30-40,7.665228571428571,12,964960.1094285714,175.0,4155,35.8583,0.005714285714285714
Bombardier CRJ200,1995,2,Turbofan,50,3000,4.23,4182.62,30,North America,12799757.16,Bombardier,20-30,83.6524,12,255995.1432,25.0,2051,46.056200000000004,0.04
Airbus A320,1994,2,Turbofan,180,6300,11.09,3001.42,31,Europe,85867287.01,Airbus,30-40,16.674555555555557,12,477040.48338888894,90.0,4155,41.104200000000006,0.011111111111111112
Airbus A320,2019,2,Turbofan,180,6300,3.8,2354.08,6,North America,148622413.17,Airbus,0-10,13.078222222222221,12,825680.0731666666,90.0,4155,27.3408,0.011111111111111112
Airbus A320,1986,2,Turbofan,180,6300,6.39,3377.19,39,Asia,94567645.06,Airbus,30-40,18.762166666666666,12,525375.8058888889,90.0,4155,40.1619,0.011111111111111112
Boeing 737,2023,2,Turbofan,162,5700,9.64,4580.9,2,Australia,125624938.67,Boeing,0-10,28.277160493827157,12,775462.5843827161,81.0,4132,55.449,0.012345679012345678
Airbus A350,2019,2,Turbofan,350,14800,12.32,3903.6,6,Asia,627350471.43,Airbus,0-10,11.153142857142857,12,1792429.9183714285,175.0,4155,51.356,0.005714285714285714
Cessna 172,1982,1,Piston,4,1285,45.79,2725.69,43,Africa,200883.12,Cessna,40+,681.4225,1,50220.78,4.0,2039,73.0469,0.25
Boeing 777,2019,2,Turbofan,396,15600,13.65,4543.69,6,North America,617515816.39,Boeing,0-10,11.473964646464646,12,1559383.374722222,198.0,4132,59.08689999999999,0.005050505050505051
Airbus A350,2016,2,Turbofan,350,14800,13.17,3585.71,9,North America,578537168.74,Airbus,0-10,10.244885714285715,12,1652963.339257143,175.0,4155,49.027100000000004,0.005714285714285714
Airbus A350,1991,2,Turbofan,350,14800,7.43,1577.16,34,South America,352264513.5,Airbus,30-40,4.506171428571429,12,1006470.0385714286,175.0,4155,23.2016,0.005714285714285714
Boeing 777,2005,2,Turbofan,396,15600,6.17,1630.36,20,Europe,487912225.85,Boeing,10-20,4.117070707070707,12,1232101.580429293,198.0,4132,22.473599999999998,0.005050505050505051
Cessna 172,1988,1,Piston,4,1285,27.67,3075.28,37,Asia,197915.33,Cessna,30-40,768.82,1,49478.8325,4.0,2039,58.42280000000001,0.25
Cessna 172,2007,1,Piston,4,1285,39.86,2060.23,18,Africa,298551.39,Cessna,10-20,515.0575,1,74637.8475,4.0,2039,60.4623,0.25
Cessna 172,1982,1,Piston,4,1285,39.78,1994.0,43,South America,222622.69,Cessna,40+,498.5,1,55655.6725,4.0,2039,59.72,0.25
Boeing 777,2005,2,Turbofan,396,15600,3.69,1183.91,20,Australia,564481112.17,Boeing,10-20,2.9896717171717175,12,1425457.3539646463,198.0,4132,15.5291,0.005050505050505051
Airbus A320,2009,2,Turbofan,180,6300,2.82,1608.57,16,Asia,106657081.15,Airbus,10-20,8.936499999999999,12,592539.3397222223,90.0,4155,18.9057,0.011111111111111112
Bombardier CRJ200,2013,2,Turbofan,50,3000,13.16,1092.69,12,Africa,16739113.84,Bombardier,10-20,21.8538,12,334782.2768,25.0,2051,24.0869,0.04
Boeing 777,1980,2,Turbofan,396,15600,8.86,2998.83,45,Asia,426371079.26,Boeing,40+,7.57280303030303,12,1076694.6445959595,198.0,4132,38.848299999999995,0.005050505050505051
Bombardier CRJ200,1993,2,Turbofan,50,3000,5.03,3449.46,32,Africa,11580165.0,Bombardier,30-40,68.9892,12,231603.3,25.0,2051,39.5246,0.04
Cessna 172,1986,1,Piston,4,1285,10.64,3623.59,39,North America,230441.89,Cessna,30-40,905.8975,1,57610.4725,4.0,2039,46.8759,0.25
Boeing 777,2019,2,Turbofan,396,15600,6.57,2176.96,6,North America,674789652.35,Boeing,0-10,5.497373737373738,12,1704014.273611111,198.0,4132,28.3396,0.005050505050505051
Airbus A320,2015,2,Turbofan,180,6300,4.83,4055.59,10,North America,132685759.88,Airbus,0-10,22.531055555555557,12,737143.1104444445,90.0,4155,45.3859,0.011111111111111112
